"","GD.AT.Open","GD.AT.High","GD.AT.Low","GD.AT.Close","GD.AT.Volume","GD.AT.Adjusted"
"2021-12-29",887.210021972656,895.570007324219,887.210021972656,893.609985351562,12155500,893.609985351562
"2021-12-30",893.25,895.159973144531,889.900024414062,890.760009765625,11750600,890.760009765625
"2021-12-31",891.950012207031,894.039978027344,890.890014648438,893.340026855469,8904300,893.340026855469
"2022-01-03",895.539978027344,900.659973144531,895.190002441406,898.840026855469,10785000,898.840026855469
"2022-01-04",902.75,908.119995117188,902.02001953125,908.080017089844,18140100,908.080017089844
"2022-01-05",907.059997558594,910.159973144531,903.510009765625,905.700012207031,17979300,905.700012207031
"2022-01-07",903.909973144531,908.400024414062,901.859985351562,906.47998046875,30226900,906.47998046875
"2022-01-10",909.669982910156,923.929992675781,909.669982910156,918.409973144531,49138500,918.409973144531
"2022-01-11",919.849975585938,934.820007324219,919.849975585938,934.609985351562,50459500,934.609985351562
"2022-01-12",938.130004882812,952.320007324219,935.539978027344,950.380004882812,45282800,950.380004882812
"2022-01-13",948.47998046875,960.880004882812,946.450012207031,955.760009765625,54239000,955.760009765625
"2022-01-14",951.200012207031,951.450012207031,942.590026855469,949.390014648438,40921200,949.390014648438
"2022-01-17",951.659973144531,959.440002441406,951.659973144531,956.280029296875,23062700,956.280029296875
"2022-01-18",952.390014648438,953.219970703125,942.659973144531,944.640014648438,21746000,944.640014648438
"2022-01-19",942.27001953125,952.419982910156,941.559997558594,951.650024414062,22904400,951.650024414062
"2022-01-20",953.22998046875,959.590026855469,949.799987792969,957.599975585938,31221200,957.599975585938
"2022-01-21",950.309997558594,951.359985351562,939.419982910156,942.460021972656,50178600,942.460021972656
"2022-01-24",940.849975585938,941.330017089844,912.849975585938,914.840026855469,40993700,914.840026855469
"2022-01-25",918.390014648438,923.030029296875,911.830017089844,913.359985351562,31791600,913.359985351562
"2022-01-26",920.22998046875,933.340026855469,920.22998046875,932.960021972656,34985100,932.960021972656
"2022-01-27",927.320007324219,935.539978027344,924.330017089844,934.580017089844,24930800,934.580017089844
